Name,Owner,Users,Country,Address,lat,lon,Current power (MW),Current H100 equivalents,Current total capital cost (2025 USD billions),Project,Energy companies
Anthropic-Amazon New Carlisle,Amazon #confident,Anthropic #confident,United States,"55001 Larrison Blvd, New Carlisle, IN 46552",41.7017,-86.5205,1092.0,685914.059345619,34.861708140000005,Project Rainier #confident,
Microsoft Fairwater Wisconsin,Microsoft #confident,"OpenAI #likely, Microsoft #likely",United States,"4800 90th St, Mount Pleasant, WI 53403",42.6748722,-87.8948822,555.0,558827.6907529056,17.71,Microsoft AI WAN #confident,WE Energies
OpenAI Stargate Abilene,Oracle #confident,OpenAI #confident,United States,"5502 Spinks Rd, Abilene, TX 79601",32.4942321,-99.8009071,590.0,510358.7670540677,16.14,Stargate #confident,American Electric Power
Meta Prometheus,Meta #confident,Meta #confident,United States,"1 Community Cir, New Albany, OH 43054",40.0769,-82.7949,531.0,493683.67862556846,15.64,Prometheus #confident,"Williams,American Electric Power"
QTS Richmond,,,United States,"6000 Technology Blvd, Sandston, VA 23150",37.4888273,-77.24749,854.0,492167.7614957049,32.72,,Dominion Energy
Microsoft Fairwater Atlanta,Microsoft #confident,OpenAI #speculative,United States,"1435 Hwy 54 W, Fayetteville, GA 30214",33.4453541,-84.5254819,433.0,374125.44637352496,11.86,Microsoft AI WAN #confident,Georgia Power
xAI Colossus 2,xAI #confident,xAI #confident,United States,"5420 Tulane Rd, Memphis, TN 38109",34.9979829,-90.0348674,302.0,280837.7920316433,8.899895272,,
xAI Colossus 1,xAI #confident,xAI #confident,United States,"3231 Riverport Rd, Memphis, TN 38109",35.0735541,-90.0873076,425.0,275795.85649317835,11.43,,MLGW
Amazon Madison Mega Site,Amazon #confident,Anthropic #speculative,United States,"Amazon Data Services Inc, Madison Mega Site Nissan Parkway and Highway 22 Canton, Mississippi Madison County",35.7796,-78.6382,341.0,214348.14354550533,10.894283791,Project Rainier #speculative,
Google New Albany,Google #confident,Google DeepMind #likely,United States,"1101 Beech Rd SW, New Albany, OH 43054",40.070051,-82.754042,407.0,207175.3410813542,13.005422293,,
Microsoft Goodyear,Microsoft #confident,OpenAI #likely,United States,"14250 W Broadway Rd, Goodyear, AZ 85338",33.4089905,-112.3647996,263.0,205145.185799518,7.9,,
Meta Temple,Meta #confident,Meta #confident,United States,"2310 Eberhardt Rd, Temple, TX 76504",31.1260165,-97.3600001,198.0,173247.6719844078,5.83,,
Alibaba Zhangbei,Alibaba #confident,Alibaba #likely,China,"Alibaba Zhangbei Yun Calculation Data Center, Zhangbei County, Zhangjiakou, Hebei, China, 076471",41.1533,114.7036,203.0,132895.4017180394,6.483082454,,
Google Council Bluffs (East),Google #confident,Google DeepMind #likely,United States,"10410 Bunge Ave, Council Bluffs, IA 51503",41.1666499,-95.7977408,190.0,92470.9449216776,6.050000000000001,,
Fluidstack Lake Mariner,Fluidstack #confident,"Anthropic #likely, G42 #likely",United States,"7725 Lake Rd, Barker, NY 14012",43.3586546,-78.604128,68.0,71753.4108135422,2.22,,
Google Cedar Rapids,Google #confident,Google DeepMind #likely,United States,"5800 EDGEWOOD RD SW CEDAR RAPIDS, IA 52404",41.9221755,-91.7156674,105.0,71248.10510358767,3.34,,
Google Omaha,Google #confident,Google DeepMind #likely,United States,"11110 State St, Omaha, NE 68142",41.3356809,-96.0523625,189.0,65184.4365841334,6.049033625,,
STACK Infrastructure NVA02,,,United States,"9590 Hornbaker Rd, Manassas, VA 20109",38.7458054,-77.5377246,118.0,61141.99090449722,5.17,,
Vantage TX1,,,United States,"Goodyear, Arizona 85338",33.4672279,-112.3853489,44.8,38706.417382516425,1.22,,
Google Pryor (North),Google #confident,Google DeepMind #likely,United States,"4581 Webb St, Pryor, OK 74361",36.2411721,-95.3300473,65.0,17938.35270338555,2.070330583,,
Meta Hyperion,Meta #confident,Meta #confident,United States,"Holly Ridge, LA 71269",32.4676421,-91.6267883,0.0,0.0,0.0,Hyperion #confident,Entergy
Goodnight,Google #speculative,Google DeepMind #speculative,United States,"10001 Lima Rd, Claude, TX 79019",34.9979,-101.5555,0.0,0.0,0.0,,Serena
Amazon Ridgeland,Amazon #confident,Anthropic #speculative,United States,"1626 County Line Road Ridgeland, Mississippi",32.4000327,-90.1971708,0.0,0.0,0.0,Project Rainier #speculative,Entergy
OpenAI Stargate UAE,G42 #likely,OpenAI #confident,United Arab Emirates,"Nexus L&T Project Office, Al Bihouth, Al Dhafrah, Abu Dhabi, United Arab Emirates",24.4539,54.3773,0.0,0.0,0.0,Stargate #confident,
Coreweave Helios,Coreweave #confident,Microsoft #speculative,United States,"984 County Road 112, Afton, TX 79920",33.5185,-100.4197,0.0,0.0,0.0,,
QTS Cedar Rapids,,,United States,"6200 76th Ave SW, Fairfax, IA 52228",41.9056253,-91.7785227,0.0,0.0,0.0,,Alliant Energy
OpenAI Stargate Shackelford,Oracle #confident,OpenAI #confident,United States,"175 Private Road 1604, Abilene, TX 79601, Shackelford County",32.7357,-99.8901,0.0,0.0,0.0,Stargate #confident,
Crusoe Abilene Expansion,Microsoft #confident,Microsoft #likely,United States,"5502 Spinks Rd, Abilene, TX 79601",32.4942321,-99.8009071,0.0,0.0,0.0,,
Stream Phoenix,,,United States,2950 S. Litchfield Road,33.4194907,-112.3599884,0.0,0.0,0.0,,
