timeline_days,survival_prob,at_risk,events_observed
0,1.0000,92,0
6,0.9891,92,1
8,0.9891,91,0
12,0.9780,89,1
13,0.9780,88,0
14,0.9668,87,1
17,0.9668,83,0
18,0.9550,82,1
19,0.9550,81,0
22,0.9430,80,1
23,0.9430,79,0
24,0.9430,77,0
25,0.9430,76,0
29,0.9430,75,0
30,0.9430,74,0
31,0.9430,73,0
32,0.9430,70,0
36,0.9430,69,0
37,0.9430,68,0
39,0.9430,67,0
41,0.9288,66,1
42,0.9002,65,2
46,0.9002,63,0
50,0.8857,62,1
52,0.8711,61,1
60,0.8711,60,0
61,0.8711,59,0
63,0.8711,58,0
73,0.8711,57,0
91,0.8711,55,0
92,0.8711,54,0
93,0.8711,50,0
94,0.8711,49,0
97,0.8711,47,0
99,0.8522,46,1
101,0.8522,44,0
104,0.8522,43,0
119,0.8319,42,1
123,0.8319,41,0
125,0.8319,40,0
132,0.8319,39,0
136,0.8319,38,0
145,0.8319,37,0
153,0.8319,36,0
155,0.8319,35,0
156,0.8074,34,1
162,0.8074,33,0
166,0.8074,31,0
170,0.7805,30,1
177,0.7536,29,1
188,0.7536,28,0
198,0.7536,27,0
201,0.7246,26,1
205,0.6956,25,1
207,0.6667,24,1
211,0.6667,23,0
217,0.6667,22,0
227,0.6667,21,0
232,0.6333,20,1
238,0.6333,19,0
264,0.6333,18,0
265,0.6333,17,0
273,0.6333,16,0
294,0.5911,15,1
298,0.5911,14,0
305,0.5911,13,0
310,0.5911,12,0
336,0.5374,11,1
362,0.5374,10,0
376,0.5374,9,0
430,0.5374,8,0
464,0.5374,7,0
475,0.5374,6,0
487,0.5374,5,0
679,0.5374,4,0
874,0.5374,3,0
1065,0.5374,2,0
1152,0.5374,1,0
